subject_id,item,valence,arousal,valence_z_within96,arousal_z_within96
sub-001,1,6,5,0.519291464,0.325380474
sub-001,2,5,3,-0.005466226,-0.790209722
sub-001,3,7,6,1.044049154,0.883175572
sub-001,4,6,4,0.519291464,-0.232414624
sub-001,5,7,5,1.044049154,0.325380474
sub-001,6,6,5,0.519291464,0.325380474
sub-001,7,6,4,0.519291464,-0.232414624
sub-001,8,8,7,1.568806844,1.440970669
sub-001,9,6,4,0.519291464,-0.232414624
sub-001,10,8,7,1.568806844,1.440970669
sub-001,11,7,5,1.044049154,0.325380474
sub-001,12,5,3,-0.005466226,-0.790209722
sub-001,13,7,5,1.044049154,0.325380474
sub-001,14,8,7,1.568806844,1.440970669
sub-001,15,7,5,1.044049154,0.325380474
sub-001,16,8,7,1.568806844,1.440970669
sub-001,17,5,4,-0.005466226,-0.232414624
sub-001,18,5,4,-0.005466226,-0.232414624
sub-001,19,6,5,0.519291464,0.325380474
sub-001,20,7,5,1.044049154,0.325380474
sub-001,21,8,6,1.568806844,0.883175572
sub-001,22,6,5,0.519291464,0.325380474
sub-001,23,7,5,1.044049154,0.325380474
sub-001,24,8,5,1.568806844,0.325380474
sub-001,25,3,6,-1.054981606,0.883175572
sub-001,26,4,2,-0.530223916,-1.34800482
sub-001,27,4,6,-0.530223916,0.883175572
sub-001,28,2,6,-1.579739296,0.883175572
sub-001,29,2,10,-1.579739296,3.114355963
sub-001,30,2,9,-1.579739296,2.556560865
sub-001,31,2,7,-1.579739296,1.440970669
sub-001,32,3,4,-1.054981606,-0.232414624
sub-001,33,2,2,-1.579739296,-1.34800482
sub-001,34,4,3,-0.530223916,-0.790209722
sub-001,35,3,5,-1.054981606,0.325380474
sub-001,36,2,5,-1.579739296,0.325380474
sub-001,37,3,4,-1.054981606,-0.232414624
sub-001,38,3,5,-1.054981606,0.325380474
sub-001,39,4,3,-0.530223916,-0.790209722
sub-001,40,3,3,-1.054981606,-0.790209722
sub-001,41,2,2,-1.579739296,-1.34800482
sub-001,42,4,3,-0.530223916,-0.790209722
sub-001,43,4,3,-0.530223916,-0.790209722
sub-001,44,4,3,-0.530223916,-0.790209722
sub-001,45,3,2,-1.054981606,-1.34800482
sub-001,46,3,3,-1.054981606,-0.790209722
sub-001,47,4,3,-0.530223916,-0.790209722
sub-001,48,4,2,-0.530223916,-1.34800482
sub-001,49,7,6,1.044049154,0.883175572
sub-001,50,6,3,0.519291464,-0.790209722
sub-001,51,9,8,2.093564534,1.998765767
sub-001,52,6,4,0.519291464,-0.232414624
sub-001,53,6,5,0.519291464,0.325380474
sub-001,54,7,3,1.044049154,-0.790209722
sub-001,55,9,10,2.093564534,3.114355963
sub-001,56,7,5,1.044049154,0.325380474
sub-001,57,6,4,0.519291464,-0.232414624
sub-001,58,6,4,0.519291464,-0.232414624
sub-001,59,9,8,2.093564534,1.998765767
sub-001,60,8,7,1.568806844,1.440970669
sub-001,61,5,4,-0.005466226,-0.232414624
sub-001,62,6,5,0.519291464,0.325380474
sub-001,63,7,5,1.044049154,0.325380474
sub-001,64,7,5,1.044049154,0.325380474
sub-001,65,6,5,0.519291464,0.325380474
sub-001,66,5,3,-0.005466226,-0.790209722
sub-001,67,5,3,-0.005466226,-0.790209722
sub-001,68,6,4,0.519291464,-0.232414624
sub-001,69,6,6,0.519291464,0.883175572
sub-001,70,6,4,0.519291464,-0.232414624
sub-001,71,7,6,1.044049154,0.883175572
sub-001,72,6,4,0.519291464,-0.232414624
sub-001,73,4,3,-0.530223916,-0.790209722
sub-001,74,5,5,-0.005466226,0.325380474
sub-001,75,5,2,-0.005466226,-1.34800482
